n,t_1,t_2,t_3,t_4,t_5
2,0:00.14,0:00.08,0:00.19,0:00.13,0:00.12
4,0:00.28,0:00.42,0:00.46,0:00.41,0:00.41
8,0:00.75,0:00.79,0:00.94,0:00.89,0:00.77
16,0:01.56,0:01.91,0:01.50,0:01.82,0:01.73
32,0:03.50,0:03.36,0:04.11,0:03.92,0:03.87
64,0:09.72,0:09.17,0:09.11,0:08.60,0:08.91
