n,t_1,t_2,t_3,t_4,t_5
2,0:00.13,0:00.15,0:00.09,0:00.15,0:00.13
4,0:00.38,0:00.44,0:00.28,0:00.39,0:00.40
8,0:00.79,0:00.83,0:00.90,0:00.85,0:00.81
16,0:01.54,0:01.79,0:01.68,0:01.80,0:01.65
32,0:03.65,0:04.30,0:03.67,0:02.37,0:03.62
64,0:09.77,0:09.78,0:09.27,0:09.30,0:08.62
