n,t_1,t_2,t_3,t_4,t_5
2,0:00.09,0:00.18,0:00.15,0:00.14,0:00.15
4,0:00.32,0:00.49,0:00.47,0:00.43,0:00.26
8,0:00.75,0:00.86,0:00.80,0:00.82,0:00.83
16,0:01.86,0:01.71,0:01.81,0:01.70,0:01.68
32,0:04.26,0:03.98,0:04.08,0:04.06,0:03.88
64,0:11.75,0:11.40,0:10.55,0:10.32,0:11.61
