n,t_1,t_2,t_3,t_4,t_5
2,0:00.14,0:00.15,0:00.10,0:00.15,0:00.10
4,0:00.41,0:00.30,0:00.45,0:00.34,0:00.30
8,0:00.79,0:00.94,0:00.75,0:00.83,0:00.80
16,0:01.78,0:01.86,0:01.58,0:01.64,0:01.70
32,0:03.69,0:04.84,0:04.47,0:04.01,0:03.73
64,0:08.79,0:07.27,0:09.67,0:08.26,0:08.61
