n,t_1,t_2,t_3,t_4,t_5
2,0:00.17,0:00.16,0:00.16,0:00.15,0:00.15
4,0:00.26,0:00.33,0:00.42,0:00.35,0:00.45
8,0:00.82,0:00.81,0:00.83,0:00.80,0:00.83
16,0:01.61,0:01.39,0:01.54,0:01.56,0:01.56
32,0:04.40,0:04.04,0:04.04,0:04.39,0:04.03
64,0:09.18,0:09.35,0:09.17,0:10.11,0:09.17
