n,t_1,t_2,t_3,t_4,t_5
2,0:00.19,0:00.09,0:00.16,0:00.15,0:00.14
4,0:00.33,0:00.36,0:00.45,0:00.48,0:00.39
8,0:00.81,0:00.90,0:00.89,0:00.69,0:00.86
16,0:01.63,0:01.66,0:01.87,0:01.62,0:01.59
32,0:04.29,0:04.37,0:03.83,0:03.72,0:03.82
64,0:08.87,0:09.04,0:08.17,0:07.87,0:09.03
