n,t_1,t_2,t_3,t_4,t_5
2,0:00.14,0:00.15,0:00.15,0:00.10,0:00.15
4,0:00.34,0:00.47,0:00.37,0:00.40,0:00.42
8,0:00.93,0:00.77,0:00.91,0:00.81,0:00.89
16,0:01.88,0:01.54,0:01.57,0:01.59,0:01.74
32,0:03.97,0:04.32,0:03.88,0:04.46,0:04.31
64,0:08.17,0:08.21,0:09.26,0:08.86,0:09.64
