n,t_1,t_2,t_3,t_4,t_5
2,0:00.17,0:00.15,0:00.12,0:00.15,0:00.12
4,0:00.29,0:00.48,0:00.45,0:00.43,0:00.42
8,0:00.87,0:00.70,0:00.80,0:00.75,0:00.76
16,0:01.87,0:01.85,0:01.68,0:01.71,0:01.68
32,0:04.01,0:04.17,0:03.59,0:03.55,0:03.94
64,0:08.37,0:10.26,0:08.49,0:07.58,0:08.11
